,Query,Description
261,Mobile Applications Developer @ Charmboard,"We have a wide variety of career opportunities around the world — come find yours. Information Technology-CHICAGO OR HOUSTON The United IT team designs, develops and maintains massively scaling technology solutions that are brought to life with innovative architectures, data analytics and digital solutions. Job overview and responsibilities The Developer plays an important role in creating and maintaining the strategic partnership between business needs and technology delivery. The Developer's role is to plan, design, develop and launch efficient systems and solutions in support of core organizational functions. This individual will apply proven communication, analytical and problem-solving skills to help identify, communicate and resolve issues, opportunities or problems in order to maximize the benefit of IT and Business investments. The Developer is experienced and self - sufficient in performing his/her responsibilities requiring little supervision, but general guidance and direction. Design, develop and modify software applications/systems according to specifications Consults with Business Analysts and business partners on potential software solutions for business specifications Provides support to the software development leads (Senior Developer) during the design portion of the SDLC Works on one or more projects; may work as a project leader Works on moderate to complex projects Support and troubleshoot software systems as required, optimizing performance, resolving problems, and providing follow-up on all issues and solutions Develop appropriate software documentation as outlined in IDF Complete comprehensive unit testing on all developed/enhanced software Provides direction tools, technical and process support to less senior developers Required Demonstrate advance knowledge of SDLC processes, inputs/outputs , standards and best practices Demonstrate advance knowledge of development methodologies, software design and design patterns, integration standards as well as its applicability at coding and testing cycles.Demonstrate advance knowledge of software engineering best practices such as: versioning and versioning control, software packaging and software release management Demonstrate advance knowledge of the application of development domain areas and specific technologies and tool set Creativity & Innovation Persuasion Effective Communication (verbal + written) Knowledgeable of Technology & Systems Technical writer Problem solver Attention to detail Working knowledge of business Excel at coding and on time delivery of quality components and or applications Excel at component and unit testing of following standard practices and methodologies Excel utilizing the technologies and domain knowledge with the delivery of developed components or integrated components Excel at working problems of moderate scope where analysis of situations or data requires review of a variety of factors Excel at triage or analysis of situations for production support Proficient with on time delivery with minimal supervision Effective participant of requirements gathering, requirement analysis Proficient at applications and component design following a prescribed architecture and technology footprint BS/BA, preferably in a technical or scientific field or equivalent experience, education or training 2 or more years of experience in application design, development, installation and modification of software Must be legally authorized to work in the United States for any employer without sponsorship Successful completion of interview required to meet job qualification Reliable, punctual attendance is an essential function of the position Preferred Chef/Ansible, Configuration tools Dev Ops Experience Infrastructure knowledge Windows Server 2012 Cloud technologies Azure, AWS UI Analytics (Google Analytics) Exposure to APPD & Dynatrace Continuous Integration & Continuous Deployment Mobile Technologies Exposure to Couchbase NoSQL DB Agile Methodologies Net, C, C++, C, Java HTML, Java Script (Angular 2.0, JS), CSS SQL, Oracle Experience, Relational DB Experience Code Repositories like TFS Microsoft Office tools, Power point, Excel Equal Opportunity Employer – Minorities/Women/Veterans/Disabled/LGBT"
262,Mobile Applications Developer @ Western Digital,"With 90 locations throughout North America, Acuren Inspection, Inc. is the leader in Nondestructive Testing (NDT). Providing a wide range of services in many industries including: Oil and Gas, Petrochemical, Pipeline, Power Generation, Pulp and Paper, Construction, Fabrication, Automotive, and Aerospace. Inspection is our history and our focus for growth. We are a Rockwood company, the worldwide leader in NDT service and technology with over 3,000 technical professionals in Acuren, Hellier NDT Training, and Sperry Rail Service -- NDT firms run by NDT people! Position Summary: Software Developer Webster Texas Role Overview Acuren is seeking a Software Developer, for our Webster, TX office. 2-5 years of practical .NET experience (C preferred) as a full-stack software development engineer We are a service-orient ed firm that's poised to start taking advantage of a re-architected technology platform. You will be a key participant in building new systems, adding value to existing platforms, and working with the business teams to drive growth through technology. This role presents a unique opportunity to make a material impact on defining the firm's new technology platform and helping drive the next phase of growth for the business. What will you do? This role will combine a mix of new application development, enhancing and maintaining existing products, working with software vendors, and supporting the business, both locally and globally. Development in this role entails the full range of the product development lifecycle, from ideation through execution to support. We are seeking a generalist, as projects will come across the tech stack, leveraging a variety of technologies (though we are mostly a .NET shop), and likely touching desktop, mobile, and web efforts. Experience Required BA/BS in Computer Science or a related field 2-5 years of practical .NET experience (C preferred) as a full-stack software development engineer Proficient with SQL and SQL Server, though no need to be an expert Knowledge of software engineering best practices such as those around agile development, coding standards, code reviews, source control management, build processes, and testing Familiar with Java script, though willing to learn more if necessary Generally, technology agnostic and comfortable picking up new technologies or libraries Willing to work with remote teams in different geographies and time zones Experience building for or supporting a Sales or Marketing team is a big plus Benefits: Medical, Dental, and supplemental insurance 401K plans Paid Holidays Paid Time Off Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled"
263,Mobile Applications Developer @ Zerodha,"Job Description Client in Deer Park Texas is searching for a Developer to be part of a team creating web and mobile applications using Angular 2+ for the front end and .NET technology for the back end. Development is fast paced, input is welcomed, and the opportunity to work on a variety of projects exists. Client is a contractor for the Plants and Refineries in the Heavy Industrial and Petrochemical industry. ROLES AND RESPONSIBILITIES: Create front end user experiences with Angular 2+ Create .NET APIs using Entity Framework and LINQ Occasionally write and/or update C console applications Enhance existing software projects Provide support for bugs Attend SCRUM meetings daily Communicate effectively with team, project owners and end users PREFERRED SKILLS: Angular 2 or higher .NET core or .NET API Entity framework / LINQ SQL Server Experience with Agile / JIRA / Slack Qualifications Computer Science degree or equivalent 3+ years’ experience preferred as developer Additional Information All your information will be kept confidential according to EEO guidelines."
264,Mobile Applications Developer @ Foodmonk,"Senior Business Developer Duties: Develop business plans, analyze business requirements, company's existing operations and procedures, identify problems to improve efficiency, increase profitability and generate revenue. Interpret data concerning expenditure, and past, present & future financial operations through statistical reports. Perform detailed business and process modeling including e-commerce impact on a business. Market company’s services, maintain accounts and client relationship. Provide efficient and effective support to CEO in planning and strategies for future revenue streams, financial forecasting, project documentation, customer relation management, marketing campaigns and finance- related projects. Analyze current and new markets simultaneously to determine business interest and expansion opportunities. Collaborate with respective team members to produce and deliver quality business solutions, and communicate with clients to obtain valuable feedback of current and forecasted business initiatives and results. Recommend improvements in operations and budgeting based on financial reports. Should have strong knowledge and understanding about custom software application development, enterprise mobile applications, advance technologies & IT project management. Requirements: Master's degree in Business Administration or Management or related field of study and one year of experience in the position or as Marketing Manager or Chief Operating Officer or General Manager or any related position. Any suitable combination of education, training or experience is acceptable. Salary: $ 168,000.00 per annum Hours: Monday through Friday 9:00am to 5:00pm Job location: Houston Technologies Center, 410 Pierce Street, Houston, TX 77002 Contact: info@saviance.com"
265,Mobile Applications Developer @ Hotstar,"Our Global Technology Infrastructure group is a team of innovators rewarded with innovators who love technology as much as you do. Together, you'll use a disciplined, innovative and a business focused approach to develop a wide variety of high-quality products and solutions. You'll work in a stable, resilient and secure operating environment where you—and the products you deliver—will thrive. When you work at JPMorgan Chase & Co., you're not just working at a global financial institution. You're an integral part of one of the world's biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world. As an experienced Infrastructure Support professional, you'll be making decisions of a global and strategic nature that impact our customers, clients, and businesses around the globe. Your expertise in analyzing complex systems, anticipating problems, and finding ways to mitigate risk, will be key in mentoring a high performing team to successfully provide first-class infrastructure service to our customers, clients, and businesses around the globe each and every day . By incorporating your knowledge of AIX platform and infrastructure automation, you will affect change and lead development of innovative improvements and world-class practices. Your team will be responsible for driving operational stability and reliability in a Site Reliability Enginering (SRE) operating model, and they'll look to you to provide the technical leadership to move them forward. And while you will be part of a tight-knit team that shares your passion for technology, you'll also gain access the best minds in the business—both as part of the JPMorgan Chase & Co. global technology community, and through our partnerships with some of the most important tech firms in the world. Roles & Responsibilities: Act as primary customer interface for day to day issues and queries Responsible for coaching and mentoring less experienced team members Develop and support routine operational activities with automation Lead root cause analysis meetings as part of process improvement Work closely with peer teams to deliver high availability and optimum performance for customers Qualifications: Senior System Administrator, Software Engineer or operational/product support engineer in a dynamic 24X7 environment Advanced knowledge of IBM VIO 1.x and 2.x Advanced knowledge of IBM PowerHA 5.x, 6.x and 7.x Advanced knowledge in GPFS (General Parallel File Systems) 10+ years of working experience in AIX Operating System in an enterprise environment Proven experience working with virtualized platforms including LPARs on the P6, P7 and P8 processor architectures Proven experience with network products and protocols including TCP/IP (Transmission Control Protocol/Internet Protocol), Firewalls, Load Balancers, Intrusion Detection and DNS (Domain Name Service) Demonstrated understanding of security standards including a working knowledge of SSH (Secured Shell) Demonstrated experience successfully implementing High Availability and Disaster Recovery options Exposure to enterprise storage SAN (Storage Area Network) architectures (EMC, Hitachi, etc…) Exposure to industry recognized tools including NetBackup, Tivoli / Net-SNMP (Simple Network Management Protocol) and Tivoli Storage Manager (TSM) Understanding of security best practices for multi-tiered operating systems Understanding of backup process, system monitoring, performance tuning, disaster recovery, and scripting for AIX / VIO (Virtual Input/Output) Should be part of DevOps/SRE AIX org that can work on Operational support as well as automating AIX Operations Experience with on-premises/datacenter and cloud service deployed applications Working Good knowledge in either Perl or Python or Shell scripting to automate procedures and workflows. Basic familiarity and understanding of agile development methodologies and practices Effective written and verbal communication skills Ability to work on tasks and projects through to completion with limited supervision Excellent team work, conflict resolution, and the ability to mentor less experienced team members Must be client focused and have the ability to work with diverse teams remotely across different cultures/time zones"
266,Mobile Applications Developer @ MOSERP Technologies India Private Limited,"J.P. Morgan's Corporate & Investment Bank is a global leader across banking, markets and investor services. The world's most important corporations, governments and institutions entrust us with their business in more than 100 countries. With $18 trillion of assets under custody and $393 billion in deposits, the Corporate & Investment Bank provides strategic advice, raises capital, manages risk and extends liquidity in markets around the world. J.P. Morgan Markets (JPMM) is the Corporate and Investment Bank's (CIB) strategic web-based platform, where capital markets clients and internal desks access our award-winning research, powerful analytics, multi-product trade execution, and extensive clearing and custody services. The platform delivers applications across the full trade lifecycle connecting the CIB businesses to clients. The candidate must be a talented and hands-on technologist. The position will entail developing new applications and supporting existing applications for the global, client facing, J.P. Morgan Markets. This role provides the unique and exciting opportunity to gain exposure to the full spectrum of the CIB's financial applications. The candidate will primarily focus on the JPMM portal. This serves as the base platform and web framework for a multitude of CIB web applications In this role you will: Develop enterprise B2B Internet applications Design, build, test, troubleshoot, and support web site based applications Participate in the full software development life cycle Optimize performance of web applications Communicate with the full spectrum of global stakeholders and colleagues Bachelor’s degree specializing in Computer Science or equivalent technical curriculum, or Equivalent professional experience developing web sites or applications 2+ years experience developing web applications Strong knowledge of the Internet Enjoy working with technology both professionally and personally. Essential Technology Skills Java, Node.JS, or equivalent server side web development technologies, OR Expert level HTML/5, Javascript, JQuery, CSS Internet Browsers Developer Tools within Browsers Test driven development SQL Linux Desired Technical Skills Mobile web development, Responsive web design Source Code Management Shell scripting Fiddler Apache Httpd, HAProxy, or Nginx Apache Tomcat Websockets Essential Professional Skills A ""can do"" attitude Be able to adjust quickly to changes Clear verbal and written communication Ability to work to deadlines Adopt best practices in day to day work to improve efficiency. Communication skills, be able to explain a complex problem; be able to explain necessary testing variables that apply to code written; be able to explain code implementation in detail and at a high level; Be able to partner with people from other teams to get work done together"
267,Mobile Applications Developer @ VSM Software Private Limited,"Job Description: At EXP, we know that great experiences start with the right people. We believe that work should be challenging, and the challenge should be fun. We also believe that exponential possibilities are more likely to occur with a respectful, satisfying and empowering company. We value and respect our employees - their experience and expertise as well as their energy, passion and diversity - and their innovative approach to work and to life. Your Challenge EXP is currently searching for an GIS Developer to work in our Houston, Texas office. Your Responsibilities Experience with GIS and geospatial concepts Experience with pipeline and pipeline application development ArcGIS Enterprise (ArcGIS Online, Portal, Server, SDE) ASP.Net MVC, WCF, SQL Server and IIS Python, C.net JavaScript frameworks and libraries (i.e..Dojo, Angular.js, jQuery, Bootstrap) JavaScript mapping APIs (i.e..ESRI JavaScript API, Google Maps API) Familiarity with ESRI mobile applications and software (i.e. ArcGIS Survey123, Collector, Workflow) Familiarity or experience with Active Directory Federation Services (ADFS) and ArcGIS Server a plus iOS, mobile development a plus Job Requirements: The Skills and Knowledge You Bring College degree in Computer Science or GIS 5+ year’s experience required Oil & Gas experience preferred What EXP Can Offer With a mission to understand, innovate, partner and deliver, EXP provides engineering, architecture, design and consulting services to the world’s built and natural environments. Our heritage dates back to 1906, when the earliest of EXP’s predecessor companies started its engineering infrastructure practice. Today, over 3,000 creative EXP professionals across North America provide the passion and expertise needed to deliver successful projects around the world. Our promise is to offer you a challenging career in a positive and dynamic work environment, and it's a promise we take seriously. Join a dynamic team at EXP that provides you with innovative projects, the capacity to develop your career, a full range of benefits, flexible working hours, and much more! When you explore what EXP has to offer, you’ll find exponential possibilities. For more information, visit www.exp.com. EXP U.S. Services is an equal opportunity employer committed to diversity in the workplace. Minority/Female/Disabled/Protected Veteran LI-JH1"
268,Mobile Applications Developer @ IBM,"Don’t miss out on this great Application Development Manager (ADM) opportunity in Microsoft’s Premier Support for Developers organization. For the second year in a row, Microsoft has been ranked No. 1 on the list of “Top 50 Employers” by diversity magazine readers. Our team helps enterprise clients and partners to do more through accelerated product adoption, process enablement, and the productive use of developer platforms and Azure solutions. Application Development Managers have the technical skills to provide advisory across the customer solution lifecycle. They provide best practices on Azure app development and influence technical and strategic decisions to ensure positive customer outcomes. Clients benefit from our services in the following ways: Technical Know-How Expert guidance on Azure platform services and disruptive technologies like IoT, Blockchain, AI, OSS/Containers, Augmented Reality, Angular, React, NodeJS and Mobile Dev supporting POC/IOC, design, architecture, and development needs. Performance & Scalability Expert guidance on designing and building solutions to meet performance targets and monitoring that performance in real time. Analytics, Monitoring, & Diagnostics Expert guidance on how to build solutions to gather insights on the user experience, system heath, and business value creation. Learn how to leverage telemetry and insights to implement automated recovery and move toward “self- healing systems”. Availability Expert guidance on building in resilience and fault tolerance for a positive user experience. Operability Expert guidance on how to deliver all components of a solution at high quality; respond quickly to end-user needs including open source technologies such as Docker and Kubernetes. Security, Privacy, and Standards Integrate security and privacy standards into the development process; assess threats and solution vulnerabilities and remediate Modern SW Development Expertise Introduce or advance the use of modern software development techniques and processes to improve outcomes, e.g. Continuous Delivery, Continuous Integration, DevOps including experience with tools like VSTS, Jenkins and Octopus. Production Azure Service Delivery at Scale Enabling the ongoing successful delivery of Azure services for large portfolios and mission critical solutions. We are a fast-growing business, and we need talented individuals with a unique mix of client relationship management and application development skills to join our team. Responsibilities As an ADM, you will provide our clients with access to a wide range of product and application development expertise to help them accelerate their application development cycle and build successful applications. Our goals are our client’s goals, and we work jointly to drive impact and value in their business. Your work will have both proactive, and reactive components. Long-term relationship building with your customers, coupled with your diverse background and experience, will make you a trusted advisor to the customer. You will be expected to make recommendations on application development approach, and services needed to achieve your customer’s desired outcomes. In addition to work with our clients, ADMs often get involved with local schools, communities and organizations like DigiGirlz, which is aimed at helping kids and young adults get excited and interested in science, technology, engineering, and math (STEM) topics. Key success factors: Customer satisfaction Consistently demonstrates concise and effective communication with customers and employees Contributes to the success of others by sharing best practices with peers throughout Microsoft Consistently establishes and maintains working relationships with internal support delivery teams, customer support teams, customer contracts and material representatives Qualifications Key Stakeholders: This position will have regular contact with other Microsoft roles such as support engineers, Digital Architects, Cloud Solution Architects, Data Solution Architects, Technical Account Managers, Microsoft product groups, service sellers, account executives, managers, and external vendors. Qualifications: Development experience/expertise in one or more of the following technologies is desirable: Programming Languages like Visual Basic, C/C/C++, Python, Java, PHP, R, or others Integrated Development Environments like Visual Studio, VSTS and Eclipse Application Lifecycle Management (ALM) Open Source Software (OSS) experience is a big plus Cloud development and architecture Web application development Relational and non-relational databases technologies Business reporting and analytical technologies Programming infrastructure like .NET Framework Collaboration and communication platforms like SharePoint, Exchange, Lync or Skype. Skill and experience Open minded and inclusive work style with background and experience in developing applications to solve complex business applications. The ability to move between high level design review and “roll up the sleeves” type of assistance across all phases of an application development project. Consistently practices strong organizational, communication, project management, negotiation, and problem-solving skills. Development consulting experience is highly desired. This position may require 30% travel. Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form. Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
269,Mobile Applications Developer @ SOCXO,"Aspect employs a team of passionate individuals who are changing the face of customer engagement. Over our 40-year history we have empowered employees by creating an inspired community that values customer obsession, unlocked communications and relentless innovation. Our ability to think big has enabled us to continually evolve and lead the market, and to stay on the forefront with exciting technologies including cloud, mobile and artificial intelligence. Job Description GENERAL SCOPE & SUMMARY Our AE’s are insightful and digitally savvy advocates of the new customer engagement imperatives that represent both threats and opportunities to our customers. At Aspect, we build solutions for customers that they use to win in the ever more demanding world of increasing expectations in consumer engagement. Relentless relationship developers, our AE’s are the stars with our organization that are advocates for our customer experience and success. This is a pure hunter role focused on developing new business opportunities and requires a sales professional who is accustomed to high volume activity to achieve desired results. This position will cover the TOLA territory and can be based in either Houston, Austin or San Antonio, TX. PRIMARY RESPONSIBILITIES Engages with prospects proactively with a strategic “consultative” and “trusted advisor” approach that results in addressing a customer’s business needs with solutions that transform their business and drives positive outcomes Develop and present compelling value propositions Builds strong key stakeholder relationships within the customer broadly and deeply, especially at the business levels Unlock and understand each of the key stakeholders personal and business motivations Understand customer’s budgetary and funding process, procurement process, decision making process, approval process, including the key players and the timing, and keep knowledge current Demonstrates keen understanding of customer’s strategies and business issues, its vertical industry, its competitive environment, forces for/against customer, economic and financial drivers, and challenges Challenges the customer to think differently about their business Complies fully with sales policies, processes and procedures on a timely basis to achieve consistency, predictability and accuracy Forecast accuracy SFDC accuracy Pipeline build activities Qualifications SPECIALIZED KNOWLEDGE & SKILLS Accustomed to delivering results and has a track record of achieving and exceeding quota and MBO's Maintains an executive presence with appropriate presentation and communication skills Understands that collaboration leads to better, faster results Collaborates with others to ensure the customer has appropriate resources and support Collaborates with the customer providing solution based proposals in order to drive the partnership and future growth opportunities Shares best practices with the team, and coaches and mentors other team members Intense drive, go getter, fire in the belly attitude Intelligent, learning agile, trustworthy, ethical and empathetic JOB REQUIREMENTS 5+ years of experience selling complex and very technical software solutions with seven figure commitments to larger enterprise and Fortune 500 accounts. Successful background as a hunter working with longer sales cycles and engaging the line of business in the sales processes. Must have a consistent record of quota achievement over $1mil and recognition as top performer. Must have experience in a team sales environment, excel at team building and have a proven track record of team leadership. Demonstrate excellent verbal and written communication skills. A technical background and aptitude is important. Comfortable in a technical conversation as well as addressing the business users. Strong time management, organization, and decision making skills are critical. Experience using a CRM and accurately forecasting. Bachelor's degree in relevant field. Ability to pass a background check required. Ability to travel to customer sites, channel partners, internal meetings and/or events (national level). Aspect is an equal opportunity/affirmative action employer with a strong commitment to diversity. In that spirit, we are particularly interested in receiving applications from a broad spectrum of people, including women, minorities, individuals with disabilities, veterans or any other legally protected group. LI-AB3"
270,DevOps Engineer @ SAP,"Nintendo of America Inc. The worldwide pioneer in the creation of interactive entertainment, Nintendo Co., Ltd., of Kyoto, Japan, manufactures and markets hardware and software for its Nintendo Switch ™ system and the Nintendo 3DS ™ family of portable systems. Since 1983, when it launched the Nintendo Entertainment System ™ , Nintendo has sold more than 4.5 billion video games and more than 710 million hardware units globally, including Nintendo Switch and the Nintendo 3DS family of systems, as well as the Game Boy ™ , Game Boy Advance, Nintendo DS ™ family of systems, Super NES ™ , Nintendo 64 ™ , Nintendo GameCube ™ , Wii ™ and Wii U ™ systems. It has also created industry icons that have become well-known, household names, such as Mario, Donkey Kong, Metroid, Zelda and Pokémon. A wholly owned subsidiary, Nintendo of America Inc., based in Redmond, Wash., serves as headquarters for Nintendo’s operations in the Americas. For more information about Nintendo, please visit the company’s website at http://www.nintendo.com DESCRIPTION OF DUTIES Acts as a partner to, and a bridge between, application development teams and infrastructure environments and teams with a focus on building systems that will meet operational goals leveraging automation and process. Partners with development teams by providing infrastructure assistance and guidance from the early phases of product development, including the development of software and processes to assist developers in infrastructure-related workflows (such as build, release and deployment automation). Designs and implements infrastructure for new and existing products, ensuring all business policies for security, supportability and cost are met, while enabling efficient deployment of products through automated means (such as configuration management and continuous deployment). May be involved in requirements gathering, prototyping, architecting, building and implementing test plans, performing quality reviews, and triaging or fixing operational issues, at all phases of the product lifecycle. Participates in project planning discussions to include the formulation and delivery of cost and labor estimates and options for assigned projects Works with product development and infrastructure teams to define, gather, and document technical and functional requirements for new and existing products, and ensure that the same are being adhered to during initial development and product maintenance Designs and implements solutions to provide continuous integration, automated deployment, and configuration management of internally or externally developed applications Designs and implements automated testing solutions to ensure the continued integrity and quality of products and solutions Identify and monitor application health and Key Performance Indicators (KPIs) for new and existing products using tools such as Nagios or Zenoss, developing automated processes for same Performs peer review of solutions developed by others, and potentially other teams, ensuring that best practices and internal standards are being followed, and recommends alternatives when appropriate Serves as a liaison with development and infrastructure teams; may also serve as liaison with external vendors in coordination with project managers Analyze new and existing products for performance and efficiency improvements, both as part of a structured release process, and as an ongoing process Integrates internally developed products, externally developed products, and mixtures of both, to create working solutions from multiple disparate parts Participates in 24x7 on call cycle to support and troubleshoot products and solutions in multiple environments. SUMMARY OF REQUIREMENTS Typically requires a minimum of four years of related experience in software development and system engineering technologies, patterns and practices. Experience participating in or leading the planning and execution of small to moderately complex projects, alone or as part of a team Proficiency in two or more programming languages (such as Python, Java, Ruby, C, C/C++, etc); experience writing, documenting, bundling and publishing code for reuse by others is extremely helpful. Proficiency in the setup, configuration, maintenance, and upgrading of one or more server operating system families (Linux, Windows, BSD, etc) Proficiency with server prototyping and virtualization tools and platforms (vagrant, docker, AWS ec2, etc) Proficiency with version control tools (svn, git, etc) Some experience with SDLC processes (code review, release management, etc) and automation of same (continuous integration, continuous delivery) Some experience with networking equipment, protocols (TCP/IP, SSL, etc) and troubleshooting tools (Wireshark, etc) Bachelor of Science degree in Computer Science, Computer Engineering, Electrical Engineering, Information Technology, Information Systems, Industrial Engineering, or related field; or equivalent combination of education and experience. NOA - RG _We are an equal opportunity employer of individuals with disabilities and protected veterans....valuing diversity…celebrating strengths._"
271,DevOps Engineer @ Adobe,"Who we are Dude Solutions is a leading provider of cloud based operations management software to optimize facilities, assets, and workflow. We empower our clients and our people, combining innovative technology with operational insight to transform the places we learn, live, heal, work, and play. We’re both proud and humbled to play a role in the daily operations of so many clients, and we look forward to continually drive innovation, efficiency and safety throughout the markets we serve. About the job Dude Solutions is looking for a DevOps Engineer to join our growing technology team. The ideal candidate will be excited about building the tools and environments necessary for maximum productivity, increasing the velocity and efficiency of a deployment pipeline with clean and easy code deployments through production. Most importantly, the right individual will be highly motivated, with a positive attitude and a passion for efficient, solution- oriented technical work in a fast-paced environment. What you’ll be doing Functioning as a DevOps Engineer building next generation cloud infrastructure. Creating and maintaining developer and production environments. Identify improvements to system scalability and stability. Implement enhancements and best practices for modern development principles and methodologies. Rapid deployment, automation, monitoring and troubleshooting around the cloud hosted environment. Develop and maintain tooling to assist with things like integration tests, performance tooling, building production and staging environments, CI systems, source control etc. Work in a small team of smart engineers who are focused on continual improvement of skills and learning new things. Automate repetitive tasks in the department's workflow. Create and build out the service delivery tool set and document it along. Periodic on-call support duties. Use current and cutting-edge technologies while testing bleeding-edge technologies for future use. Break, then Fix, then Automate, Repeat! What you need Experience with building and managing AWS / Azure environments. Knowledge of or experience with configuring / administrating OSs, DBs, networks, and application servers Working knowledge of continuous delivery tool sets. Experience with development in two or more languages (Python, PowerShell, SQL, Bash, Java, JavaScript…) Familiarity with tools for systems management, operational support, and performance monitoring. (ELK stack, Grafana, CloudWatch, StackDriver, etc) Understanding of continuous integration and delivery (including tools like Jenkins, Bamboo, Team City, etc.) Experience with revision control source code repositories and Git branching technologies. The ability to work with cross-functional teams to reach software release goals. Ability to think abstractly and deal well with ambiguous/undefined problems. Experience with system automation and deployment tools (Ansible, Chef, SCCM, etc.) Ability to think abstractly and deal well with ambiguous/undefined problems. Strong verbal, written, and interpersonal communication, with a collaborative attitude toward working with internal and external (e.g. vendors, partners and regulatory entities) team members. Experience troubleshooting and resolving application and system-related issues. Proven track record of taking project ownership and on-time completion with little oversight. Self-starter, collaborative team player, and desire to mentor other members of the team. Be the Dude There’s no one kind of Dude. We are always looking for people that bring new perspectives and life experiences to our team. It’s the diversity of those people and their ideas that inspire innovation that runs through everything we do. At the core of our unique culture are our people – so we expect our candidates to have all the “right stuff”. If you are a big thinker, have a passion for technology and great people, embrace creativity, and are genuine in both words and actions, then get ready to do something incredible. Join our team and be the dude!"
272,DevOps Engineer @ Accenture,"Swisslog designs, develops and delivers best-in-class automation solutions for forward-thinking hospitals, warehouses and distribution centers. We offer integrated systems and services from a single source – from consulting to design, implementation and lifetime customer service. Behind the company’s success are 2 300 employees worldwide, supporting customers in more than 50 countries. The Healthcare Solutions portfolio comprises automated material handling and drug management systems for hospital facilities that increase efficiency and enhance the patient experience in forward-thinking hospitals. Swisslog automated material handling solutions provide quick, flexible and safe transportation of medications, specimens and basic supplies throughout hospitals and across medical center campuses, while its medication management solutions address packaging, labeling, storage and dispensing for inpatient and outpatient pharmacies. DevOps Engineer – Connectivity Location: Kirkland, WA The DevOps Engineer is responsible for enabling standardized connectivity options between customer premises and Swisslog Network Operation Center (NOC). Swisslog has customers from all over the world, and each country has different rules and regulation. As a core team member of the GlobalConnectivity team, the DevOps Engineer would be responsible for understanding the customer needs, existing network topology, and regulatory requirements to come up with the best possible solutions. The DevOps team is also responsible for managing and supporting the operation of the existing customer connections. The DevOps Engineer will collaborate with Swisslog Corporate IT resources, Customer/NOC support team, and customers. Your Responsibilities Build, deploy and run automated continuous integration - continuous deployment infrastructure with specific emphasis on connectivity between on-premise hardware and software applications, the cloud and Swisslog’s global NOC’s. Build, deploy and run automated configuration management and build services for global connectivity systems and applications. Create, maintain, enhance and extend build infrastructure including Continuous Integration, Continuous Deployment, Configuration Management, for Global Connectivity, and automated build verification testing. Collaborate with Development teams to define and maintain release and continuous integration processes and frameworks. Collaborate with architect and development teams to migrate our platform to the Global Connectivity. Design and implement cloud-based environment replication and auto-scaling functionality to enable zero downtime deploys and expand scalability in support of Global Connectivity. Analyze and resolve configuration issues in development, test, and production environments. Provide collaborative conduit between IT Operations and Development teams. Proactively analyze and improve our application deployments. Build effective monitoring, logging and auditing of production systems to ensure compliancy with mandated policies (e.g., HIPAA, GDPR) Design, build and deploy monitoring, alerting and logging capabilities for all connectivity services so as to enable a “Connectivity Monitoring” playbook for Global NOC’s Investigate and contribute to solving various development, test, and production environment issues. Performs other duties, as assigned. Your Profile BS in Computer Science or equivalent or 3-5 years of relevant work experience Puppet, Ansible, and Jenkins Knowledge of Agile development process from system build through deployment Cloud Technologies, AWS, Azure, and VMWare. Experience with one or more of the following scripting languages: Python, Ruby, Bash, other Experience with source control repository systems Windows Server and Network administration experience Strong troubleshooting skills to resolve Infrastructure related problems Enthusiasm for solving interesting problems, self-starter Ability to understand complex, interdependent software systems Strong communicator and a passion to work with others to achieve team goals Strong customer focus, business acumen and results orientation Desirable but not Essential: Understanding of backup and disaster recovery processes and configuration Understanding the processes and auditing of systems for primarily HIPAA and others Experience with Test Automation and/or Performance Analysis nice to have We Offer Swisslog offers challenging work in a globally networked environment as well as competitive base salary, comprehensive benefits including health/dental and above-market 401K! OUR SOLUTIONS DELIVER RESULTS. OUR EMPLOYEES DELIVER SOLUTIONS. _Swisslog is an EEO Employer, Females/Minority/Veterans/Disabled/Sexual Orientation/Gender Identity_ Swisslog’s FMLA policy can be found at: http://www.dol.gov/whd/regs/compliance/posters/fmlaen.pdf Federal law requires employers to provide reasonable accommodation to qualified individuals with disabilities. If you require reasonable accommodation to complete the application or to perform your job, please contact Human Resources at jobs.healthcare.us@swisslog.com . Contact Andy Levine Talent Acquisition Manager"
